Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,HouseAge,YearsSinceRemodel,QualCond,TotalBsmtBath,TotalBath,HasBasement,IsHomeNew,HasGarage,HasSecondGarage,MultipleExteriorMaterials,HasMasonryVeneer
11,20,RL,70.0,11200,Missing,3,3,Inside,2,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,Missing,0.0,3,3,CBlock,3,3,1,3,906,1,0,134,1040,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,7,0,0,Detchd,1965.0,1,1,384,3,3,2,0,0,0,0,0,0,Missing,Missing,Missing,0,2,2008,WD,Normal,11.771443882099637,2080,44,44,25,1.5,1.0,1,0,1,0,0,1
12,60,RL,85.0,11924,Missing,2,3,Inside,2,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,1,6,998,1,0,177,1175,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,7,2,4,BuiltIn,2005.0,3,3,736,3,3,2,147,21,0,0,0,0,Missing,Missing,Missing,0,7,2006,New,Partial,12.75130259456002,3499,2,1,45,1.5,3.0,1,1,1,0,1,1
13,20,RL,68.0,12968,Missing,1,3,Inside,2,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,Missing,0.0,3,3,CBlock,3,3,1,5,737,1,0,175,912,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,7,0,0,Detchd,1962.0,1,1,352,3,3,2,140,0,0,0,176,0,Missing,Missing,Missing,0,9,2008,WD,Normal,11.87757552297847,1824,47,47,30,1.5,1.0,1,0,1,0,1,1
14,20,RL,91.0,10652,Missing,2,3,Inside,2,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,3,1,0,1,0,1494,1494,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,7,1,4,Attchd,2006.0,2,3,840,3,3,2,160,33,0,0,0,0,Missing,Missing,Missing,0,8,2007,New,Partial,12.540761149388421,2988,2,1,35,0.0,2.0,1,1,1,0,0,1
15,20,RL,68.0,10920,Missing,2,3,Corner,2,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733,1,0,520,1253,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,7,1,2,Attchd,1960.0,2,1,352,3,3,2,0,213,176,0,0,0,Missing,GdWo,Missing,0,5,2008,WD,Normal,11.964007453736912,2506,49,49,30,1.5,1.5,1,0,1,0,0,1
16,45,RM,51.0,6120,Missing,3,3,Corner,2,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,Missing,0.0,3,3,BrkTil,3,3,1,1,0,1,0,832,832,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,7,0,0,Detchd,1991.0,1,2,576,3,3,2,48,112,0,0,0,0,Missing,GdPrv,Missing,0,7,2007,WD,Normal,11.790564777297387,1686,79,7,56,0.0,1.0,1,0,1,0,0,1
17,20,RL,68.0,11241,Missing,2,3,CulDSac,2,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578,1,0,426,1004,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,7,1,3,Attchd,1970.0,3,2,480,3,3,2,0,0,0,0,0,0,Missing,Missing,Shed,700,3,2010,WD,Normal,11.91170829631447,2008,41,41,42,1.5,1.0,1,0,1,0,0,1
18,90,RL,72.0,10791,Missing,3,3,Inside,2,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,Missing,0.0,3,3,Slab,0,0,0,0,0,0,0,0,0,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,7,0,0,CarPort,1967.0,1,2,516,3,3,2,0,0,0,0,0,0,Missing,Missing,Shed,500,10,2006,WD,Normal,11.407576060361786,1296,40,40,20,0.0,2.0,0,0,1,0,0,1
19,20,RL,66.0,13695,Missing,3,3,Inside,2,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,Missing,0.0,3,3,PConc,3,3,1,6,646,1,0,468,1114,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,7,0,0,Detchd,2004.0,1,2,576,3,3,2,0,102,0,0,0,0,Missing,Missing,Missing,0,6,2008,WD,Normal,11.976665770490767,2228,5,5,25,1.5,1.5,1,0,1,0,0,1
20,20,RL,70.0,7560,Missing,3,3,Inside,2,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,Missing,0.0,3,3,CBlock,3,3,1,2,504,1,0,525,1029,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,6,0,0,Attchd,1958.0,1,1,294,3,3,2,0,0,0,0,0,0,Missing,MnPrv,Missing,0,5,2009,COD,Abnorml,11.842236406331555,2368,52,45,30,0.0,1.0,1,0,1,0,1,1
21,60,RL,101.0,14215,Missing,2,3,Corner,2,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,1,0,1,0,1158,1158,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,7,1,4,BuiltIn,2005.0,2,3,853,3,3,2,240,154,0,0,0,0,Missing,Missing,Missing,0,11,2006,New,Partial,12.692506186542177,3534,2,1,40,0.0,3.5,1,1,1,0,0,1
22,45,RM,57.0,7449,Grvl,3,2,Inside,2,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,Missing,0.0,3,3,PConc,3,3,1,1,0,1,0,637,637,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,7,1,4,Attchd,1930.0,1,1,280,3,3,0,0,0,205,0,0,0,Missing,GdPrv,Missing,0,6,2007,WD,Normal,11.845109950883979,1745,78,58,49,0.0,1.0,1,0,1,0,0,1
23,20,RL,75.0,9742,Missing,3,3,Inside,2,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,1,1,0,1,0,1777,1777,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,7,1,4,Attchd,2002.0,2,2,534,3,3,2,171,159,0,0,0,0,Missing,Missing,Missing,0,9,2008,WD,Normal,12.345838935721968,3572,7,7,40,0.0,2.0,1,0,1,0,0,1
24,120,RM,44.0,4224,Missing,3,3,Inside,2,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,Missing,0.0,3,3,PConc,4,3,1,6,840,1,0,200,1040,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,3,Attchd,1976.0,1,2,572,3,3,2,100,110,0,0,0,0,Missing,Missing,Missing,0,6,2007,WD,Normal,11.774527900858468,2100,32,32,35,1.5,1.0,1,0,1,0,1,1
25,20,RL,68.0,8246,Missing,2,3,Inside,2,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,Missing,0.0,3,4,CBlock,3,3,2,3,188,5,668,204,1060,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,3,Attchd,1968.0,1,1,270,3,3,2,406,90,0,0,0,0,Missing,MnPrv,Missing,0,5,2010,WD,Normal,11.944714374881176,2120,43,10,40,1.5,1.0,1,0,1,0,0,1
26,20,RL,110.0,14230,Missing,3,3,Corner,2,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,1,1,0,1,0,1566,1566,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,7,1,4,Attchd,2007.0,2,3,890,3,3,2,0,56,0,0,0,0,Missing,Missing,Missing,0,7,2009,WD,Normal,12.454107814022272,3166,3,3,40,0.0,2.0,1,0,1,0,0,1
27,20,RL,60.0,7200,Missing,3,3,Corner,2,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,Missing,0.0,3,3,CBlock,3,3,2,4,234,3,486,180,900,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,7,0,0,Detchd,2005.0,1,2,576,3,3,2,222,32,0,0,0,0,Missing,Missing,Missing,0,5,2010,WD,Normal,11.811554895830454,1800,60,11,35,0.0,1.0,1,0,1,0,0,1
28,20,RL,98.0,11478,Missing,3,3,Inside,2,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218,1,0,486,1704,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,7,1,4,Attchd,2008.0,2,3,772,3,3,2,0,50,0,0,0,0,Missing,Missing,Missing,0,5,2010,WD,Normal,12.631343648903034,3408,4,3,40,1.5,2.0,1,0,1,0,0,1
29,20,RL,47.0,16321,Missing,2,3,CulDSac,2,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,Missing,0.0,3,3,CBlock,3,3,4,4,1277,1,0,207,1484,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,7,2,4,Attchd,1957.0,2,1,319,3,3,2,288,258,0,0,0,0,Missing,Missing,Missing,0,12,2006,WD,Normal,12.242891437918386,3084,50,10,30,1.5,1.0,1,0,1,0,0,1
30,30,RM,60.0,6324,Missing,2,3,Inside,2,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,Missing,0.0,3,3,BrkTil,3,3,1,1,0,1,0,520,520,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,7,0,0,Detchd,1920.0,1,1,240,2,3,2,49,0,87,0,0,0,Missing,Missing,Missing,0,5,2008,WD,Normal,11.134603622683905,1040,82,59,24,0.0,1.0,1,0,1,0,0,1
31,70,C (all),50.0,8500,Pave,3,3,Inside,2,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,Missing,0.0,3,2,BrkTil,3,3,1,1,0,1,0,649,649,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,7,0,0,Detchd,1920.0,1,1,250,3,2,0,0,54,172,0,0,0,Missing,MnPrv,Missing,0,7,2008,WD,Normal,10.596659732783579,1966,89,59,16,0.0,1.0,1,0,1,0,0,1
32,20,RL,68.0,8544,Missing,2,3,CulDSac,2,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,Missing,0.0,3,3,CBlock,3,3,1,1,0,1,0,1228,1228,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,7,0,0,Attchd,1966.0,1,1,271,3,3,2,0,65,0,0,0,0,Missing,MnPrv,Missing,0,6,2008,WD,Normal,11.914054519303125,2456,43,3,30,0.0,1.5,1,0,1,0,0,1
33,20,RL,85.0,11049,Missing,3,3,Corner,2,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Missing,0.0,4,3,PConc,5,3,3,1,0,1,0,1234,1234,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,7,0,0,Attchd,2007.0,2,2,484,3,3,2,0,30,0,0,0,0,Missing,Missing,Missing,0,1,2008,WD,Normal,12.100161978566867,2468,2,2,40,0.0,2.0,1,0,1,0,0,1
34,20,RL,70.0,10552,Missing,2,3,Inside,2,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,Missing,0.0,3,3,CBlock,3,3,1,3,1018,1,0,380,1398,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,7,1,4,Attchd,1959.0,2,2,447,3,3,2,0,38,0,0,0,0,Missing,Missing,Missing,0,4,2010,WD,Normal,12.016732516077072,3098,52,52,25,0.0,1.5,1,0,1,0,0,1
35,120,RL,60.0,7313,Missing,3,3,Inside,2,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,1,6,1153,1,0,408,1561,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,7,1,4,Attchd,2005.0,3,2,556,3,3,2,203,47,0,0,0,0,Missing,Missing,Missing,0,8,2007,WD,Normal,12.533579815765737,3122,3,3,45,1.5,2.0,1,0,1,0,0,1
36,60,RL,108.0,13418,Missing,3,3,Inside,2,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,3,1,0,1,0,1117,1117,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,7,1,4,BuiltIn,2004.0,3,3,691,3,3,2,113,32,0,0,0,0,Missing,Missing,Missing,0,9,2006,WD,Normal,12.6410997921206,3569,3,2,40,0.0,3.5,1,0,1,0,0,1
37,20,RL,112.0,10859,Missing,3,3,Corner,2,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,Missing,0.0,3,3,PConc,4,3,1,1,0,1,0,1097,1097,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,7,0,0,Attchd,1995.0,1,2,672,3,3,2,392,64,0,0,0,0,Missing,Missing,Missing,0,6,2009,WD,Normal,11.884495917930655,2194,16,15,25,0.0,1.5,1,0,1,0,0,1
38,20,RL,74.0,8532,Missing,3,3,Inside,2,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,1,3,1213,1,0,84,1297,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,7,1,3,Attchd,1954.0,3,2,498,3,3,2,0,0,0,0,0,0,Missing,Missing,Missing,0,10,2009,WD,Normal,11.938199736300925,2594,56,20,30,0.0,1.0,1,0,1,0,0,1
39,20,RL,68.0,7922,Missing,3,3,Inside,2,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,Missing,0.0,3,4,CBlock,3,3,1,6,731,1,0,326,1057,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,7,0,0,Detchd,1953.0,1,1,246,3,3,2,0,52,0,0,0,0,Missing,Missing,Missing,0,1,2010,WD,Abnorml,11.599112335481124,2114,58,4,35,1.5,1.0,1,0,1,0,0,1
40,90,RL,65.0,6040,Missing,3,3,Inside,2,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,Missing,0.0,3,3,PConc,0,0,0,0,0,0,0,0,0,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,7,0,0,None,1973.0,0,0,0,0,0,0,0,0,0,0,0,0,Missing,Missing,Missing,0,6,2008,WD,AdjLand,11.314486721293981,1152,54,54,20,0.0,2.0,0,0,0,0,1,1
41,20,RL,84.0,8658,Missing,3,3,Inside,2,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,1,3,643,1,0,445,1088,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,7,1,3,Attchd,1965.0,2,2,440,3,3,2,0,138,0,0,0,0,Missing,GdWo,Missing,0,12,2006,WD,Abnorml,11.982935344196433,2412,42,42,30,0.0,2.0,1,0,1,0,0,1
42,20,RL,115.0,16905,Missing,3,3,Inside,2,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,Missing,0.0,3,4,CBlock,3,3,4,4,967,1,0,383,1350,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,7,2,4,Attchd,1959.0,2,1,308,3,3,1,0,104,0,0,0,0,Missing,Missing,Missing,0,7,2007,WD,Normal,12.04355959836804,2678,49,49,30,0.0,1.5,1,0,1,0,0,1
43,85,RL,68.0,9180,Missing,2,3,CulDSac,2,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,Missing,0.0,3,3,CBlock,4,3,3,5,747,2,93,0,840,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,7,0,0,Attchd,1983.0,2,2,504,3,4,2,240,0,0,0,0,0,Missing,MnPrv,Missing,0,12,2007,WD,Normal,11.87757552297847,1724,25,25,35,1.5,1.0,1,0,1,0,0,1
44,20,RL,68.0,9200,Missing,2,3,CulDSac,2,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,Missing,0.0,3,3,CBlock,4,3,3,2,280,4,491,167,938,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,7,0,0,Detchd,1977.0,1,1,308,3,3,2,145,0,0,0,0,0,Missing,MnPrv,Missing,0,7,2008,WD,Normal,11.777218637129327,1876,34,29,30,1.5,1.0,1,0,1,0,0,1
45,20,RL,70.0,7945,Missing,3,3,Inside,2,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,Missing,0.0,3,3,CBlock,3,3,1,5,179,4,506,465,1150,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,7,0,0,Attchd,1959.0,2,1,300,3,3,2,0,0,0,0,0,0,Missing,Missing,Missing,0,5,2006,WD,Normal,11.856522261533737,2300,48,48,30,1.5,1.0,1,0,1,0,1,1
46,120,RL,61.0,7658,Missing,3,3,Inside,2,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,1,6,456,1,0,1296,1752,5,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,7,1,4,Attchd,2005.0,2,2,576,3,3,2,196,82,0,0,0,0,Missing,Missing,Missing,0,2,2010,WD,Normal,12.675766851909591,3504,6,6,45,1.5,2.0,1,0,1,0,0,1
47,50,RL,48.0,12822,Missing,2,3,CulDSac,2,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,Missing,0.0,4,3,PConc,5,3,1,6,1351,1,0,83,1434,5,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,7,1,5,Attchd,2003.0,2,2,670,3,3,2,168,43,0,0,198,0,Missing,Missing,Missing,0,8,2009,WD,Abnorml,12.387089184491993,3583,7,7,35,1.5,1.5,1,0,1,0,0,1
48,20,FV,84.0,11096,Missing,3,3,Inside,2,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Missing,0.0,4,3,PConc,4,3,3,6,24,1,0,1632,1656,5,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,4,7,7,0,0,Attchd,2006.0,2,3,826,3,3,2,0,146,0,0,0,0,Missing,Missing,Missing,0,7,2007,WD,Normal,12.428019481065613,3312,2,2,40,0.0,2.0,1,0,1,0,0,1
49,190,RM,33.0,4456,Missing,3,3,Inside,2,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,Missing,0.0,3,3,BrkTil,3,3,1,1,0,1,0,736,736,4,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,3,8,7,0,0,None,1974.0,0,0,0,0,0,0,0,0,102,0,0,0,Missing,Missing,Missing,0,6,2009,New,Partial,11.635151947212842,2188,90,2,20,0.0,2.0,1,1,0,0,0,1
50,20,RL,66.0,7742,Missing,3,3,Inside,2,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,Missing,0.0,3,3,CBlock,3,3,1,4,763,1,0,192,955,5,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,3,6,7,0,0,Attchd,1966.0,1,1,386,3,3,2,0,0,0,0,0,0,Missing,MnPrv,Missing,0,1,2007,WD,Normal,11.751950239425476,1910,42,42,35,1.5,1.0,1,0,1,0,0,1
