Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,HouseAge,QualCond,GrLivArea_squared,TotalBsmtSF_squared,1stFlrSF_squared,GarageArea_squared,TotRmsAbvGrd_squared,OverallQual_squared,ExterQual_squared,KitchenQual_squared,GarageCars_squared,BsmtQual_squared,HeatingQC_squared,HouseAge_squared
23,20,RL,75.0,9742,3,3,Inside,2,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,281.0,,3,PConc,,3.0,1.0,1.0,0,1.0,0,1777,1777,,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,,7,7,1,4.0,Attchd,2002.0,2.0,2,534,3.0,3.0,2,171,159,0,0,0,0,0,9,2008,WD,Normal,12.345838935721968,3572,6,40,3222025,3157729,3222025,285156,49,64,0.0,0.0,4,0.0,0.0,36
24,120,RM,44.0,4224,3,3,Inside,2,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,0.0,,3,PConc,,3.0,1.0,6.0,840,1.0,0,200,1040,,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,,6,7,1,3.0,Attchd,1976.0,1.0,2,572,3.0,3.0,2,100,110,0,0,0,0,0,6,2007,WD,Normal,11.774527900858468,2100,31,35,1123600,1081600,1123600,327184,36,25,0.0,0.0,4,0.0,0.0,961
25,20,RL,68.0,8246,2,3,Inside,2,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,0.0,,4,CBlock,,3.0,2.0,3.0,188,5.0,668,204,1060,,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,,6,7,1,3.0,Attchd,1968.0,1.0,1,270,3.0,3.0,2,406,90,0,0,0,0,0,5,2010,WD,Normal,11.944714374881176,2120,42,40,1123600,1123600,1123600,72900,36,25,0.0,0.0,1,0.0,0.0,1764
26,20,RL,110.0,14230,3,3,Corner,2,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,640.0,,3,PConc,,3.0,1.0,1.0,0,1.0,0,1566,1566,,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,,7,7,1,4.0,Attchd,2007.0,2.0,3,890,3.0,3.0,2,0,56,0,0,0,0,0,7,2009,WD,Normal,12.454107814022272,3166,2,40,2560000,2452356,2560000,792100,49,64,0.0,0.0,9,0.0,0.0,4
27,20,RL,60.0,7200,3,3,Corner,2,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,0.0,,3,CBlock,,3.0,2.0,4.0,234,3.0,486,180,900,,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,,5,7,0,,Detchd,2005.0,1.0,2,576,3.0,3.0,2,222,32,0,0,0,0,0,5,2010,WD,Normal,11.811554895830454,1800,59,35,810000,810000,810000,331776,25,25,0.0,0.0,4,0.0,0.0,3481
28,20,RL,98.0,11478,3,3,Inside,2,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,200.0,,3,PConc,,3.0,1.0,6.0,1218,1.0,0,486,1704,,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,,7,7,1,4.0,Attchd,2008.0,2.0,3,772,3.0,3.0,2,0,50,0,0,0,0,0,5,2010,WD,Normal,12.631343648903034,3408,3,40,2903616,2903616,2903616,595984,49,64,0.0,0.0,9,0.0,0.0,9
29,20,RL,47.0,16321,2,3,CulDSac,2,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,0.0,,3,CBlock,,3.0,4.0,4.0,1277,1.0,0,207,1484,,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,,6,7,2,4.0,Attchd,1957.0,2.0,1,319,3.0,3.0,2,288,258,0,0,0,0,0,12,2006,WD,Normal,12.242891437918386,3084,49,30,2560000,2202256,2560000,101761,36,25,0.0,0.0,1,0.0,0.0,2401
30,30,RM,60.0,6324,2,3,Inside,2,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,0.0,,3,BrkTil,,3.0,1.0,1.0,0,1.0,0,520,520,,N,SBrkr,520,0,0,520,0,0,1,0,1,1,,4,7,0,,Detchd,1920.0,1.0,1,240,2.0,3.0,2,49,0,87,0,0,0,0,5,2008,WD,Normal,11.134603622683905,1040,81,24,270400,270400,270400,57600,16,16,0.0,0.0,1,0.0,0.0,6561
31,70,C (all),50.0,8500,3,3,Inside,2,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,0.0,,2,BrkTil,,3.0,1.0,1.0,0,1.0,0,649,649,,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,,6,7,0,,Detchd,1920.0,1.0,1,250,3.0,2.0,0,0,54,172,0,0,0,0,7,2008,WD,Normal,10.596659732783579,1966,88,16,1734489,421201,421201,62500,36,16,0.0,0.0,1,0.0,0.0,7744
32,20,RL,68.0,8544,2,3,CulDSac,2,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,0.0,,3,CBlock,,3.0,1.0,1.0,0,1.0,0,1228,1228,,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,,6,7,0,,Attchd,1966.0,1.0,1,271,3.0,3.0,2,0,65,0,0,0,0,0,6,2008,WD,Normal,11.914054519303125,2456,42,30,1507984,1507984,1507984,73441,36,25,0.0,0.0,1,0.0,0.0,1764
33,20,RL,85.0,11049,3,3,Corner,2,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,0.0,,3,PConc,,3.0,3.0,1.0,0,1.0,0,1234,1234,,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,,7,7,0,,Attchd,2007.0,2.0,2,484,3.0,3.0,2,0,30,0,0,0,0,0,1,2008,WD,Normal,12.100161978566867,2468,1,40,1522756,1522756,1522756,234256,49,64,0.0,0.0,4,0.0,0.0,1
34,20,RL,70.0,10552,2,3,Inside,2,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,0.0,,3,CBlock,,3.0,1.0,3.0,1018,1.0,0,380,1398,,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,,6,7,1,4.0,Attchd,1959.0,2.0,2,447,3.0,3.0,2,0,38,0,0,0,0,0,4,2010,WD,Normal,12.016732516077072,3098,51,25,2890000,1954404,2890000,199809,36,25,0.0,0.0,4,0.0,0.0,2601
35,120,RL,60.0,7313,3,3,Inside,2,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,246.0,,3,PConc,,3.0,1.0,6.0,1153,1.0,0,408,1561,,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,,6,7,1,4.0,Attchd,2005.0,3.0,2,556,3.0,3.0,2,203,47,0,0,0,0,0,8,2007,WD,Normal,12.533579815765737,3122,2,45,2436721,2436721,2436721,309136,36,81,0.0,0.0,4,0.0,0.0,4
36,60,RL,108.0,13418,3,3,Inside,2,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,132.0,,3,PConc,,3.0,3.0,1.0,0,1.0,0,1117,1117,,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,,9,7,1,4.0,BuiltIn,2004.0,3.0,3,691,3.0,3.0,2,113,32,0,0,0,0,0,9,2006,WD,Normal,12.6410997921206,3569,2,40,6012304,1247689,1281424,477481,81,64,0.0,0.0,9,0.0,0.0,4
37,20,RL,112.0,10859,3,3,Corner,2,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,0.0,,3,PConc,,3.0,1.0,1.0,0,1.0,0,1097,1097,,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,,6,7,0,,Attchd,1995.0,1.0,2,672,3.0,3.0,2,392,64,0,0,0,0,0,6,2009,WD,Normal,11.884495917930655,2194,15,25,1203409,1203409,1203409,451584,36,25,0.0,0.0,4,0.0,0.0,225
38,20,RL,74.0,8532,3,3,Inside,2,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,650.0,,3,CBlock,,3.0,1.0,3.0,1213,1.0,0,84,1297,,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,,5,7,1,3.0,Attchd,1954.0,3.0,2,498,3.0,3.0,2,0,0,0,0,0,0,0,10,2009,WD,Normal,11.938199736300925,2594,55,30,1682209,1682209,1682209,248004,25,25,0.0,0.0,4,0.0,0.0,3025
39,20,RL,68.0,7922,3,3,Inside,2,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,0.0,,4,CBlock,,3.0,1.0,6.0,731,1.0,0,326,1057,,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,,5,7,0,,Detchd,1953.0,1.0,1,246,3.0,3.0,2,0,52,0,0,0,0,0,1,2010,WD,Abnorml,11.599112335481124,2114,57,35,1117249,1117249,1117249,60516,25,25,0.0,0.0,1,0.0,0.0,3249
40,90,RL,65.0,6040,3,3,Inside,2,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,0.0,,3,PConc,,,,,0,,0,0,0,,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,,6,7,0,,Missing,1973.0,,0,0,,,0,0,0,0,0,0,0,0,6,2008,WD,AdjLand,11.314486721293981,1152,53,20,1327104,0,1327104,0,36,16,0.0,0.0,0,0.0,0.0,2809
41,20,RL,84.0,8658,3,3,Inside,2,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,101.0,,3,CBlock,,3.0,1.0,3.0,643,1.0,0,445,1088,,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,,6,7,1,3.0,Attchd,1965.0,2.0,2,440,3.0,3.0,2,0,138,0,0,0,0,0,12,2006,WD,Abnorml,11.982935344196433,2412,41,30,1752976,1183744,1752976,193600,36,36,0.0,0.0,4,0.0,0.0,1681
42,20,RL,115.0,16905,3,3,Inside,2,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,0.0,,4,CBlock,,3.0,4.0,4.0,967,1.0,0,383,1350,,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,,5,7,2,4.0,Attchd,1959.0,2.0,1,308,3.0,3.0,1,0,104,0,0,0,0,0,7,2007,WD,Normal,12.04355959836804,2678,48,30,1763584,1822500,1763584,94864,25,25,0.0,0.0,1,0.0,0.0,2304
43,85,RL,68.0,9180,2,3,CulDSac,2,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,0.0,,3,CBlock,,3.0,3.0,5.0,747,2.0,93,0,840,,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,,5,7,0,,Attchd,1983.0,2.0,2,504,3.0,4.0,2,240,0,0,0,0,0,0,12,2007,WD,Normal,11.87757552297847,1724,24,35,781456,705600,781456,254016,25,25,0.0,0.0,4,0.0,0.0,576
44,20,RL,68.0,9200,2,3,CulDSac,2,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,0.0,,3,CBlock,,3.0,3.0,2.0,280,4.0,491,167,938,,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,,5,7,0,,Detchd,1977.0,1.0,1,308,3.0,3.0,2,145,0,0,0,0,0,0,7,2008,WD,Normal,11.777218637129327,1876,33,30,879844,879844,879844,94864,25,25,0.0,0.0,1,0.0,0.0,1089
45,20,RL,70.0,7945,3,3,Inside,2,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,0.0,,3,CBlock,,3.0,1.0,5.0,179,4.0,506,465,1150,,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,,6,7,0,,Attchd,1959.0,2.0,1,300,3.0,3.0,2,0,0,0,0,0,0,0,5,2006,WD,Normal,11.856522261533737,2300,47,30,1322500,1322500,1322500,90000,36,25,0.0,0.0,1,0.0,0.0,2209
46,120,RL,61.0,7658,3,3,Inside,2,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,412.0,,3,PConc,,3.0,1.0,6.0,456,1.0,0,1296,1752,,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,,6,7,1,4.0,Attchd,2005.0,2.0,2,576,3.0,3.0,2,196,82,0,0,0,0,0,2,2010,WD,Normal,12.675766851909591,3504,5,45,3069504,3069504,3069504,331776,36,81,0.0,0.0,4,0.0,0.0,25
47,50,RL,48.0,12822,2,3,CulDSac,2,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,0.0,,3,PConc,,3.0,1.0,6.0,1351,1.0,0,83,1434,,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,,6,7,1,5.0,Attchd,2003.0,2.0,2,670,3.0,3.0,2,168,43,0,0,198,0,0,8,2009,WD,Abnorml,12.387089184491993,3583,6,35,4618201,2056356,2304324,448900,36,49,0.0,0.0,4,0.0,0.0,36
48,20,FV,84.0,11096,3,3,Inside,2,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,0.0,,3,PConc,,3.0,3.0,6.0,24,1.0,0,1632,1656,,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,,7,7,0,,Attchd,2006.0,2.0,3,826,3.0,3.0,2,0,146,0,0,0,0,0,7,2007,WD,Normal,12.428019481065613,3312,1,40,2742336,2742336,2742336,682276,49,64,0.0,0.0,9,0.0,0.0,1
49,190,RM,33.0,4456,3,3,Inside,2,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,0.0,,3,BrkTil,,3.0,1.0,1.0,0,1.0,0,736,736,,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,,8,7,0,,Missing,1974.0,,0,0,,,0,0,0,102,0,0,0,0,6,2009,New,Partial,11.635151947212842,2188,89,20,2108304,541696,541696,0,64,16,0.0,0.0,0,0.0,0.0,7921
